fr,en
c'est parce qu'elle est une memoire divine,it is because she is a divine memory
elle est lie a son ame directement,she is tied to her soul directly
il la encore,he is still here
si la dance de l'ombre est lie au sortilege alors comme ca se fait que la lanterne de l'ombre n'a pas disparu c'est une memoire cree par le sortilege,if the dance of the shadow is bound to the exit lege then as it happens that the lantern of the shadow has not disappeared it is a memory created by the exit lege
cest les recompenses quil pourra pas avoir,it is the rewards he cannot get
normalement ouais vu que en soit le pouvoir vient de son aspect,normally yeah considering that power is from its aspect
ouais meme si sans son vrai nom qui lui servaient dancre ca sera plus complique,yeah even if without her real name that served her anchor it will be more complicated
il aura juste pas les recompenses il peut quand meme avancer dans la maitrise non,he just will not get the rewards he can even advance in mastery no
en vrai cest dommage jaurais aime connaitre les paliers dapres,in real it is a shame i would love to know the dapres bearings
il pourra juste ameliorer sa capacite de shadow dance,he can just improve his shadow dance ability
ca a ete confirme par g dailleurs,it was confirmed by g otherwise
ah bah voila,here you go
non les heritage daspect eux dependent directement du sortilege logique en vrai vu que ca donne des memoires,not aspect heritage they depend directly on the logical sortlege in real life since it gives memories
en vrai le troixieme cauchemar il etait pas incroyable il etait bien,in real life the third nightmare he was not incredible he was well
mais jsuis pas sur,but i am not sure
quand il aura un nouveau palier,when he has a new level
si tu parles de la shadow dance je crois oui quand meme,if you are talking about the shadow dance i think i do
heritage excuse moi,heritage excuse me
et il pourra encore rececoir les recompenses d aspect,and he can still receive the recompensations of aspect
le monde des reves n'est pas dependant du sortilege,the world of dreams is not dependent on the sortlege
et comment il va faire pour retourner dans le monde des rev puisque il est plus co necte au sortilege,and how he will return to the world of revs since he is more co nct at the exit lege
mais donc sunny a renocer a ses amis pour sa liberter,but so sunny reunited with her friends for freedom
que l'avoir rencontre au devoreur d'ame car il etait deja dessus au moment ou elles sont monte,that having met him to the lover of love because he was already on it at the time when they went up
genre pour elle elle a tout aussi bien pu le rencontrer en meme temps que neph car les ont spawn a cote,like for her she could have met him at the same time as neph because they spawn by the side
elle sait qu'il etait la mais ne sait pas qui precicement,she knows he was there but does not know who exactly
jai du mal a comprendre sunny lui partage des souvenirs posterieurs au e cauchemar puis lui faire comprendre quils se connaissent depuis le debut cf le debut du rivage oubliee mais sil parvient a tout faire comprendre a cassie alors elle oublier instantanement,i find it hard to understand sunny sharing memories from the nightmare and then to make her understand that they know each other from the beginning cf the beginning of the forgotten shore but if he manages to make everything understand a breaky so she instantly forgets
si cassie realise qui il est elle va tout oublier,if cassie realizes who he is she will forget everything
donc sunny a ete un prof a travailler pour l'armee est un explorateur ecrit des livre un saint un restaurateur marchand sorcier esclave un enfant des rue mongrel et diable a detruit le destin et bientot chevalier comment tu veux que cassie si retrouve pas etonnant qu'elle soit devenu un peu folle,so sunny was a teacher to work for the weapon is an explorer writes books a saint a restaurant merchant sorcerer slave a child of the mongrel street and devil detrived fate and soon knight how you want that cassie so not to find and wonder that she became a little crazy
j'ai un doute quand meme,i have a doubt when i am still
moi jvais rompich,i was breaking up
httpstenorcomviewqueen-freddy-mercury-goodbye-everybody-see-ya-gif-,httpstenorcomviewqueen-freddy-mercury-goodbye-everybody-see-ya-gif-
tsss,tsss
donc un maitre contre une bete superieure ca c'est deja fait mais faudrait vraiment s'appeler sunless et etre pote avec weaver et le dieu de l'ombre pour le faire,so a master against a superior beast is already done but would really have to be called sunless and be a friend with weaver and the god of shadow to do it
a god grave le pire truc que tu trouves c'est des betes superieures a la daeron,the worst thing you have ever found is a bunch of daeron-like beasts
oui pas faux,yes not false
je pense que combattre des corrompus est suffisant,i think fighting corrupt people is enough
pour la transformer en semi memoire superieur,to transform it into a semi-superior memory
dans le cauchemar il a utilise l'effet de la couronne pour reussir a ameliorer l'epee de nephis,in the nightmare he used the effect of the crown to succeed in improving the nephis epe
si la memoire est up son tissage est plus puissant donc plus stable non,if the memory is up its weaving is more powerful so more stable not
ah si je crois que je vois,ah if i think i see
ok mais je comprends toujours pas pourquoi il en as besoin,okay but i still do not understand why he needs it
sunny a precise qu'il fallait qu'il voit nephis combattre en situation reelle,sunny said he had to see nephis fight in real situation
oki mea culpa,oki mea culpa
un marchand a plus sa place a stormsea avec la maison de la nuit que dans les montagnes de god grave avec des guerriers d'elite,a merchant has more his place in stormsea with the house of the night than in the mountains of serious god with warriors of elite
c'etait pour ca la couronne,that was the crown
je vois pas ce qu'un marchand irait foutre a god grave meme si il est pote avec les gardiens du feu,i do not see what a merchant would do to a serious god even if he is friends with the fireguards
sunny veut pas trop simpliquer dans la guerre en tant que maitre sunless je le vois mal suivre nephis pendant la guerre,sunny does not want to get too involved in the war as a sunless master i cannot see him following nephis during the war
ouai mais je vois bien sunny suivre nephis pour pourvoir creer l'epee la guerre va arriver tres vite,yeah but i can see that i am going to follow nephis to create the sword the war will come very quickly
de ce que j'ai compris ils veulent le mettre juste pour pas qu'il apparaisse comme un plouc,from what i understood they want to put it just so it does not appear like a pluc
pour moi les trucs c'etait le materiau la technique de neph et les enchants a mettre,for me the stuff was the material the neph technique and the enchantments to put on
j'en ai pas le souvenir,i do not remember
il a pas dit qu'il fallait la couronne,he did not say he needed the crown
et de trouver les enchants qui vont le mieux aller a nephis,and find the delights that will best go to nephis
si maitre sunless devient un chevalier et traine avec nephis et les gardiens du feu il y a moyen qu'il soit amene a godgrave,if master sunless becomes a knight and drags with nephis and the keepers of fire there is way that he is brought to godgrave
la couronne je vois pas d'ou tu la sors il a juste besoin de l'observer et de comprendre son style,the crown i do not see where you get it he just needs to observe it and understand his style
pour forger l'epee il a besoins de l'observer et de sa memoire la couronne pour augmenter l'efficacite des memoires et ainsi creer une meilleure epee,to forge the sword he needs to observe it and his memory the crown to increase the effectiveness of the memories and thus create a better epee
httpstenorcomviewpolska-poland-minecraft-torch-creeper-gif-,httpstenorcomviewpolska-poland-minecraft-torch-creaper-gif-
il faut qu'ils mettent des torches pour qu'il y ai pas de zombies qui spawn chez eux shibalaugh,they have to put on flashlights so that there are no zombies who spawn at their house shibalaugh
carrement ils sont dans minecraft,they are in minecraft
il a pas besoin de suivre nephis pour forger lepee cest vrai que tout est plus drole avec effie shibalaugh,he does not need to follow nephis to forge lepee it is true that everything is more funny with effie shibalaugh
ou sunny peut les suivre pour creer son epee finira surement a un moment ou ils se rencontrerons j'espere juste que effie sera la,or sunny can follow them to create her epee will probably end up at a time when they will meet i just hope that effie will be the
apres ca peut etre le seigneur des ombres qui va a bastion et qui rencontre sunny avec nephis meme si je vois pas pourquoi ca arriverait,after that may be the lord of shadows who will bastion and who meets sunny with nephis even if i do not see why it would happen
qu'est ce que sunny irait faire a god grave,what sunny would do to god grave
ya aucune raison pour qu'il se rencontre,there is no reason for him to meet
je trouve que les faire se rencontrer juste comme ca ca aurait pas un interet de ouf sauf si sunny dit a nephis quil est le seigneur des ombres a ce moment la,i find that making them meet just like this would not have an ouf interest unless sunny said to nephis that he is the lord of shadows at that time
je crois que c'est ce qu'il disait justement,i think that is exactly what he was saying
suffit quil garde le masque de weaver et ya pas de probleme cest impossible de le reconnaitre avec,enough that it keeps the mask of weaver and there is no problem it is impossible to recognize it with
on va peut-etre avoir le droit a la rencontre de maitre sunless et le seigneur des ombres,we may have the right to meet master sunless and lord of shadows
chevalier sunny va peut etre accompagnee sa princesse,knight sunny may be accompanied by her princess
c'est pas juste un cliche pour un cliche,it is not just a click for a click
ca contraste tellement avec leur perso de base que ca en devient comique,it contrasts so much with their basic personality that it becomes comical
neph et sunny ont tellement des comportements cliches quand ils pensent a l'autre shibalaugh,neph and sunny have so much cliche behavior when they think about the other shibalaugh
je sens tellement que a un moment sunny va sortir a rain j'ai un rendez-vous avec une etoile,i feel so much that at some point sunny is going to go out in a groove i have an appointment with a star
ca fait juste presque chapitres que j'attendstranquille,it is just almost a chapter i am waiting for
dommage on dirait que cest la fin pendant un petit moment,it looks like it is the end for a little while
god bless je vis uniquement pour cela desormais,god bless i live only for that now
la transformation de ki song ca doit etre un ver deguelasse,the transformation of that song it must be a ver deguelasse
ceux qui voulaient de la romance sont servis,those who wanted romance are served
merci le gray,thanks the gray
oe shibalaugh,oe shibalaugh
ouais apres si tu connais la source de la memoires tu connais son niveau,yeah after you know the source of the memory you know its level
si tu regarde au debut du tome le niveau des memoires est pas affiche et sunny le dit,if you look at the beginning of the volume the memory level is not displayed and sunny says it
c'est con,that is stupid
seulement le rang ya pas le niveau,only the row is not the level
ouais nom description et rang cnest tout,yeah name description and rank cnes all
jai relu le tome ya pas souvent pour ca jetais quasi sur,i reread the volume there not often for it almost threw on
ils ont acces au nom et a la description de la memoire je crois,they have access to the name and description of the memory i believe
j'essayais de me souvenir de ma relecture,i was trying to remember my rereading
tes sur,on
ouais ok cnest bien ca,yeah okay that is right
donc c'est bien plus ou moins unique a sunny mais d'autres personnes le peuvent,so it is a lot more or less unique to sunny but other people can
ouai en fait les infectes du sortilege peuvent le faire des le stade de dormeurs autant pour moi ehe,yeah actually the infects of the sortlege can do it from the sleeping stadium as much for me ehe
je vais aller verifier quand meme,i am going to go check when i am still
ah bon je pensais que cetait tout les dormeurs,well i thought that is all sleepers
il y a que sunny et peut les autres divin aussi j'ai un doute,there is only sunny and can the other divine also i have a doubt
ben si ils y ont acces,if they have access to it
les dormeurs n'ont pas acces a leur mer d'ame c'est pour ca qu'ils ne pouvaient pas voir les informations,sleepers do not have access to their sea of love that is why they could not see the information
mais ouais il doit y avoir quelque aspect qui peuvent voir les enchantement,but yeah there must be some aspect that can see the enchantment
anvil plutot,plentiful anvil
on doivent avoir des capacites lier,we must have the ability to link
cassie peux voir les aspects attribut etc mais pas les enchantement de memoires,cassie can see attribute aspects etc but not the enchantment of memories
et meme les persos comme anvil ou cassie,and even persos as anvil or cassy
ouais mais ca apparait pas dans les runes pour autant,yeah but it does not appear in the runes
ils peuvent le sentir intuitivement donc ca saffine avec le temps,they can feel it intuitively so it suffixes over time
je sais pas si ca change pour les eveille mais les dormeurs ont pas acces au enchantement et au niveau de memoires,i do not know if it changes for them to wake up but sleepers do not have access to enchantment and memory
si tabuse ils ont juste pas les descriptions et une histoire moins detaillee,if tabuse they just do not have the descriptions and a less detailed story
mais des fois jai un peu limpression que meme lauteur a oublie que c etait que sunny,but sometimes i felt a little limp that even the author forgot that it was that sunny
cest apres avoir eu la goutte dichor de weaver que sunny a pu le faire,it is after weaver's drop dichor that sunny could do it
oui ils ont normalement pas acces au niveau des memoires au nom des enchantement et a leur description,yes they normally do not have access to the memory level in the name of the enchantment and their description
ils peuvent lire mais pas comme sunny je pense,they can read but not like sunny i think
les eveilles lambdas ne peuvent pas lire les enchainements des memoires c'etait une specificite de sunny j'ai un doute,lambdas wakes cannot read the chainings of memories it was a speciality of sunny i have a doubt
oui je ses sa fait mal et si seulement y'avait que sa j'imagine que ta pas encore terminer le volume,yes i am hurting her and if only there was that her i imagine your not yet finishing the volume
ou recevoir des memoires ect,or receive ect memories
il pourra plus lire la description des memoires,he can read more the description of the memories
mais ca va devenir complique,but it is going to get complicated
on en est pas certain mais la theorie la plus possible ses qu'il tue oiseau voleur pour recuperer le sortilege,we are not sure but the theory as much as possible that he kills a thief bird to get the exit leg
sunny il est deconnecte du sortilege a jamais,sunny he is out of the exitlege never
ca lui fait penser au bon vieux temps comme elle dit,makes her think of the good old times as she says
il sont a grace dechue entrain de boire un the ils ressassent le passe notamment le ro et neph dit que c'etait sympa,they are down drinking a the they resound the pass especially ro and neph says it was nice
c'etait quoi le contexte,what was the context
httpstenorcomviewdrama-cute-oh-my-life-gif-,httpstenorcomviewdrama-cute-oh-my-life-gif-
une drama queen,a drama queen
pourtant il a pas l'air de passer un si mauvais rdv le sunny,yet he does not seem to pass such a bad rdv the sunny
au chap,to chap
en tout cas les sunphis il mange bien en se moment sscassiepopcorn,in any case the sunphis he eats well at the moment sscassiepopcorn
sa sera la fin de shadow slave,it will be the end of slavic shadow
il doit bien rester quelques chapitre avant la fin du rencard il y a moyen d'avoir la declaration,there must be a few chapters before the end of the date there is a way to have the declaration
il balance pas des infos importante en avant premiere la-bas non plus et il peux encore changer davis tant que les infos sont pas dans le novel,he does not give up important news on the front floor either and he can still change his mind as long as the news is not on the new level
donc ca peut deranger certains,so it may bother some
en gros il repond a des questions sur son discord et il la dit la-bas mais sur son discord tu peux trouver des messages qui peuvent spoil les derniers chap anglais,basically he answers questions about his discord and he says it there but on his discord you can find messages that can spoil the last english chap
meme ca arrive qu'il donne des infos a des questions et le mentionner un peu plus tard dans l'histoire,even he sometimes gives information to questions and mentions it a little later in history
nan nest le channel qui peut spoil les gens pas linfo,nan is the channel that can spoil people not linfo
cest g qui la dit,that is g that says it
httpsdiscordcomchannels attention ceux qui sont a jour quen francais ca peut spoil,httpsdiscordcomchannels pay attention to those who are today queen francais it can spoil
c'est pas parce qu'ils sont freres que anvil n'a pas pu lui transmettre,it is not because they are brothers that anvil could not pass it on to him
et que ca setait bizarre que la se transmette dans la famille apres la naissance quoi mdr,and that it was weird that it was passed on to the family after birth what mdr
parce que cest pas lui qui la obtenu,because he did not get it
bah ca veut dire que la lignee vient davant le sortilege,well that means the line comes before the exit leg
ouais mais recupere le sortilege cest recupere son destin son lien avec nephis etc,yeah but recovers the exitlege cest recovers its destiny its connection with nephis etc
ptn jai reussit a me laisser chap de retours tt lire dun coup sa va faire du bien,ptn jai succeeds in letting me return chap tt suddenly read his will do good
anvil vient de la premiere generation donc cest pas possible,anvil comes from the first generation so it is not possible
fais juste quil retrouve le piaf,just make him find the piaf
il peut toujours recupere le cauchemar,he can always recover the nightmare
dailleurs rip le reste des relique de lheritage daspect de sunny quil nobtiendra jamais shibalaugh,moreover rip the rest of the sherry relic of aspect of sunny that he will never get shibalaugh
et cest interessant aussi de savoir que si elle vient dune memoire de lignee cnest pas anvil qui la obtenu mais ses parents,and it is also interesting to know that if she comes from a memory of a line cn is not anvil that gets her but her parents
lautre jour on parlais des lignee et de la facon do not ca se transmettait et bien pour la lignee du dieu de la guerre anvil et son frere lont tout les deux et ca vient dun de leur parents donc ca se transmet bien genetiquement et probablement possiblement a tout les enfants linfo vient de g,the other day we talked about the lines and the way do not it was passed on and well for the line of the god of war anvil and his brother both are and it comes from one of their parents so it is transmitted well genetically and probably to all the children linfo comes from g
avec quelques fights par si par la,with some fights by if by the
en vrai jmattends a du slice of life avec des developpements des perso apres que chacun ait zappe sunny,in real jm wait for a slice of life with personal developments after everyone has zappe sunny
donc tu vas forcement trouver ton bonheur,so you are going to find your happiness
mais globalement ya un peu de tout,but overall there is a little bit of everything
ca depend tu recherches quoi,what do you want
je stack des chapitres a fond depuis le eme cauchemar du coup jai pas lu la conv spoil mais jespere que ya de quoi se mettre sous la dent,i stack chapters has melted since the same nightmare of the blow i did not read the conv spoil but jespere that there is something to put under the tooth
du moins pas pour l'instant,at least not yet
il compte plus dire quil est le seigneur des ombres alors,he no longer intends to say that he is the lord of shadows then
sunny en pls a la fin mdr,sunny in pls at the end mdr
je vais rien dire de plus l'emoji se suffit a lui meme,i am not going to say anything more the emoji is enough for himself
nephis vous comptez pas me poignarder dans le dos sunny non le reste balec mais juste ca par contre shibalaugh,nephis you are not going to stab me in the back sunny not the rest balec but just that on the other hand shibalaugh
j'imaginais trop la tete de neph a ce moment la,i was thinking too much about neph's head at that time
quand il faut hop swapping,when you need hop swapping
il les gere bien en plus,he is handling them well
en vrai je kiff les periode slice of life entre les periode daction parce que si on avait que de laction encore et encore ca serait un peu lassant je trouve,in real life i kiff the period slice of life between the period of action because if we had that action again and again it would be a bit boring i find
httpstenorcomviewparlecama-main-fatal-bazooka-gif-,httpstenorcomviewcama-main-fatal-bazooka-gif-
sunny qui propose un rendez-vous a nephis et qui est choque quelle accepte shibalaugh shibalaugh en mode il sattendait a un gros non dans sa gueule mdr,sunny who proposes an appointment to nephis and who is shocking what accepts shibalaugh shibalaugh in fashion he expected a big no in his mouth mdr
et avec jet a un moment aussi juste avant de l'assainissement contre la bete hivernale ils avaient un peu consomme,and with jet at a time also just before sanitation against winter bet they had a little consumption
harper,harper
sur le rivage oublie j'ai plus le nom,on the shore forgets i have no name
humain,human
son premier kill,his first kill
on a deja vu sunnu alcolikse,we have already seen sunnu alcolikse
le retour de sunny alcoolise,the return of sunny alcoholizes
en vrai j'ai juste commence a lire avant l'annonce,i just started reading before the announcement
carrement j'ai ressenti l'embarras a travers le chap,i felt the embarrassment through the chap
comment il doit etre trop embarasse,how he must be too embarassed
il etait temps,it was time
tres tres bien meme,very well even
par contre c'est vrai que ca avance bien,but it is true it is going well
hate quon retrouve les choses serieuses ca fait bizarre a suivre le slice of life en quoti,it is weird to follow the slice of life in quoti
httpstenorcomviewdrinking-inna-drunk-drinking-wine-drink-gif-,httpstenorcomviewdrinking-inna-drunk-drinking-wine-drink-gif-
faut boire pour oublier,drink to forget
qui lui dit qu'il peut pas etre bourre,who tells him he cannot be stuffed
au moins ca avance,at least it is moving forward
sunny en pls,sunny in pls
httpstenorcomviewspeed-i-am-speed-lightning-mcqueen-cars-meme-gif-,httpstenorcomviewspeed-i-am-speed-lightning-mcqueen-cars-meme-gif-
whaaa tu as reussi a le lire en minutes,whataa you have been able to read it in minutes
sunny qui se rend compte qu'il est peut etre pas si riche que ca shibalaugh,sunny who realizes that he may not be so rich as that shibalaugh
le deuxieme shibalaugh,the second shibalaugh
ou marcheur de peau virus a because dun bout de weaver,or skin walker virus caused by a bit of weaver
comme quoi weaver le covid,like what weaver covid
en vrai j'ai sauvegarde la theorie juste au cas ou,in real life i saved the theory just in case
jaime bien,i like it
c'est juste un virus laisse par un bout de cervelle de weaver,it is just a virus left by a bit of weaver brains
mais en fait c'est ca le marcheur de peau,but that is actually the skin walker
faudra pas faire les choquer quand yaura une crise covid,you do not have to shock them when a covid crisis comes
un sdf qui laisse des bouts de lui un peu partout,a sdf who leaves pieces of him everywhere
de toute facon je l'ai deja dit weaver c'est un sdf,anyway i already said weaver is a sdf
il est doue qu'a faire ca de toute facon,he is proud to do this anyway
weaver qui paye un eclat dame pour rester dans le chateau,weaver who pays a lady eclat to stay in the castle
avec ses cure dents,with his teeth
gunlaug weaver,gunlaug weaver
comment anvil perce larmure dor,how anvil drills gold tear
je pense que gunlaug tabasse anvil,i think gunlaug tabash anvil
rien qu'hier je l'ai deja fait fois,just yesterday i already did it once
fois rien,when nothing
juste les souverains sont un poil plus fort que gunlaug du coup elle se prepare un peu plus,just the sovereigns are a hair stronger than gunlaug then she prepares a little more
c'est totalement ca oe,it is totally that
un soulevement,lifting
en vrais le debut avec gunlaug jai plus son nom mais vous avez comprit ca ressemble un peu a ce que neph souhaite faire au souverain pour battre le sortilege,in real the beginning with gunlaug jai plus his name but you have understood it looks a bit like what neph wants to do to the sovereign to beat the release
sunny doit encore apparaitre dans le film original de une chanson de lumiere et de tenebres donc si cassie parvient a faire le rapprochement elle peut creer une piece de theatre en integrant sunny je pense,sunny still has to appear in the original film of a song of light and tenebres so if cassie manages to make the rapprochement she can create a piece of theater in integral sunny i think
le big projecteur avec des vrais gens dedans la shibalaugh,big projector with real people in the shibalaugh
ca reste etre sur place,it stays there
c'est dommage sinon on etait a ca d'avoir un autre video projecteur detruit sunny,it is too bad otherwise we were at that to have another video projector deruct sunny
ouai mais sunny se fait passer pour une personne travaillant a l'arriere du front,yeah but sunny pretends to be a person working at the back of the forehead
oui pour lui parce que bon si sunny aurait fait un malaise ou detruit le theatre pendant la piece ca aurait pas ete ouf pour limage de leur relation shibalaugh,yes for him because good if sunny would have made a malaise or destroyed the theater during the piece it would not have been ouf for the image of their relationship shibalaugh
mais dcp oe c vrai que c'est pas fou,but it is not crazy
je suis pas sur que nephis ai eu bcp de trauma a because de l'antarctique,i am not sure nephis got bcp of trauma due to antarctica
pour lui,for him
cest comme si tu faisais voir une piece sur une version ou tu enleve tout les horreur de la nd gm a quelquun qui la vecu comme soldat cest pas lidee du siecle,it is like you are showing a piece on a version or you are taking away all the horrors of the nd gm from someone who is got her as a soldier it is not like she is in the circle
bah un truc plus agreable pour eux,well something nicer for them
parce que sinon ils auraient probablement pu trouver mieux quune piece de propagande sur la campagne de lantarctique quoi,because otherwise they could probably have found better than a piece of propaganda on the lantarctic campaign what
peut-etre aussi,maybe also
mais je pense quelle voulait confirmer que sunny etait le diable de lantarctique,but i think what wanted to confirm that sunny was the lantarctic devil
elle en aurait ete capable mdr,she would have been able to
avec un acteur qui jouait sunny,with an actor playing sunny
pendant sec j'ai cru que cassie les avait inviter a une scene sur les evenements du ro,during dry i thought cassie had invited them to a stage on the events of the ro
httpstenorcomviewseb-je-sais-pas-peutcaatre-aucune-idcae-gif-,httpstenorcomviewseb-i-know-not-can-not-can-no-idcae-gif-
cest vrai mais la cest pas tout a fait de la piece quil profite shibalaugh,it is true but it is not all made the piece that benefits shibalaugh
ya une version ou tu profites plus que l'autre,there is one version or you enjoy more than the other
c'est mieux de regarder un match de foot en ayant pas mal au cul et en un dossier sur son siege que de le regarder sous la pluie en ayant froid avec les fesses en compotes,it is better to watch a football game with a lot of ass and a file on his seat than to look at him in the rain when he is cold with his ass in his ass
apres mieux t'es installer plus tu profites c'est logique,after the better you settle the more you enjoy it makes sense
pas du tout shibalaugh,not at all shibalaugh
il est pas du tout influence par des evenements exterieurs a la piece en plus shibalaugh shibalaugh,it is not at all influenced by external events to the piece besides shibalaugh shibalaugh
si cassie a fait le rapprochement entre sunny et le diable de lantarctique cest juste du sadisme de lui faire voir cette piece shibalaugh,if cassie made the rapprochement between sunny and the lantarctic devil it is just sadism to make her see this shibalaugh piece
ca commence a etre interessant,it starts to be interesting
c est comme chaud,c is like hot
le probleme se que tu a appris juste une partie du probleme mais je te rassure que tu aura plus explication sur la fin du tome et si tu a encore des question meme apres la fin du tome vien nous en parler on pourra tout t'expliquer du mieux que on peut,the problem that you just learned part of the problem but i assure you you will have more explanation about the end of the volume and if you still have any questions even after the end of the old volume we can explain everything to you as best we can
je relis mais meme la c est encore un peu flou,i read it again but it is still a little blurry
je viens de lire le chap et sur la decouverte du mystere avec les souiles qui sont les leurs du passe et es ce que quelqu un peut me rexpliquer pour que je comprenne mieux parceque la c est un peu flou avec sunny et la cle de l estuaore qui est une museliere pour le peche du reconfort svp,i just read the chap and on the discovery of the mystery with the filth that are theirs of the pass and is what someone can explain to me so that i understand better because the c is a little blur with sunny and the key of the estuaore that is a muzzle for the sin of the comfort please
bn,bn
bref je vais aller me coucher bonne nuit,anyway i am going to go to bed good night
ah ouais cest loin,yeah that is far away
il est assez interessant,he is quite interesting
sinon ya un chap dans les pov cassie,otherwise there is a chap in the pov cassia
je suis deja en train de tout relire shibalaugh juste apres avoir rattrape,i am already rereading shibalaugh just after i catch up
elle dit que c'est sa facon de s'excuser,she says it is her way of apologizing
surement durant le reveal du dernier cauchemars,probably during the dream of the last nightmare
va checker les pov cassie,will check the pov cassie
mais elle le dit je men souviens plus,but she says it i do not remember
l'erreur qu'elle a fait sur le rivage et qu'elle regrette de fou,the mistake she made on the shore and that she regrets crazy
bah ca parait logique il permet au gens de seveiller beaucoup plus facilement je dit pas que cest la raison final mais cest probablement la raison direct,well that sounds logical it allows people to wake up much easier i am not saying that is the final reason but that is probably the direct reason
son vrai nom est chant des dechu et sont destin est de voir tous le monde mourir,his real name is song of the dechu and are destined to see all the world die
bah en vrai si quelqu'un arrive a detruire le sortilege c'est qu'il a reussi a creer un etre assez puissant pour le surpasser donc l'objectif du sortilege serait accompli donc plus besoin du sortilege,bah in real life if someone arrives to destroy the sortlege it is that he managed to create a being powerful enough to surpass it so the goal of the sortlege would be fulfilled so no need of the sortlege
ca m'etonnerai que weaver l'ai fait pour une raison aussi triviale,i will be surprised that weaver did it for such a trivial reason
bah le rivage justement,bah the shore precisely
dailleurs cassie explique dou lui vient la motivation de vouloir changer le destin,moreover cassia explains where it comes the motivation to want to change destiny
qui te dit que le sortilege a ete cree pour ca,who tells you that the release was created for this
c'etait juste un maniere de denoncer la betise des gens qui disent ca sur cassie elle a son objectif elle a ses principes et valeurs,it was just a way of denouncing the betise of people who say that on cassia she has her goal she has her principles and values
weaver cree le sortilege afin de creer des eveille surpuissant aussi weaver veut que nephis detruise le sortilege pour quil ne puisse plus y avoir deveille hyper puissant shibalaugh,weaver creates the exitlege in order to create superpowerful wakes so weaver wants nephis to destroy the exitlege so that there can no longer be hyperpowerful shibalaugh
nan quand meme pas,nan when not even
jamais il oserait nous sortir ca,he would never dare take us out
ca serait sympa a la fin de savoir tout ce que cassie a vu sur lavenir dans les grande lignes et a quel moment,it would be nice at the end to know all that cassie saw on the future in the big lines and at what time
si il y a implication de weaver ou d'une autre personne ca pourrait plus etre une influencer sur comment creer et utiliser les outils a sa disponibilite plutot que pour viser un objectif voulus,if weaver or someone else is involved it could be more of an influence on how to create and use tools has its availability rather than to achieve a desired goal
pas faux shibalaugh,not false shibalaugh
pour moi weaver a vu lentierete du destin de lorigine a la fin et essaie depuis quil a ete dans le vide de creer quelque chose capable de changer ce destin qui finirait par la destruction du monde entier par le dieu oublie et il aurait donc influence et aide cassie afin de faire sortir sunny de la tapisserie du destin,for me weaver saw the slowness of the destiny of origin at the end and has been trying since he was in the vacuum to create something capable of changing that destiny which would end up destroying the whole world by the forgotten god and he would therefore have influence and help cassie in order to bring out sunny from the tapestry of destiny
comme sunny et cassie corrompue qui on faconne le cauchemar,like a sunny and a corrupt cassy who makes a nightmare
l'objectif de neph il a ete decide par weaver donc elle a pas d'objectif,the goal of neph it was decided by weaver so it has no objective
donc weaver n'a pas grand choses a toucher a ses objectifs,so weaver does not have much to touch his goals
je pense que sa reste sa volonte mais que weaver leur a laisse les outils pour,i think his rest his will but weaver left them the tools for
elle veut empecher la fin du monde,she wants to stop the end of the world
si on part comme ca ca devient debile,if we go away like this it will get dirty
en vrai est-ce que ca serait vraiment son objectif a elle si elle a ete influence par weaver afin de vouloir ca,actually would that really be her goal to her if she was influenced by weaver to want it
possible mais sa peut aussi etre l'objectif de weaver qu'il perde sont destin,possible but his can also be the goal of weaver he loses are destiny
oui de toute facon ca reste l'objectif de cassie meme si elle est manipule,yes anyway it remains the goal of a break even if it is manipulated
les,on
pour moi weaver etait maitre de ce qui arrivait jusqu'au moment ou il s'est libere,for me weaver was master of what happened until the moment he freed himself
justement je suis davis que cest pas vraiment cassie mais plutot weaver en influencant cassie qui en est a lorigine,i think it is not really cassie but rather weaver by influencing cassie which is the origin
ou weaver,or weaver
en tout cas cassie a reussi a creer son arme anti-destin,in any case cassia succeeded in creating his anti-destiny weapon
donc il peut changer le destin des autres,so it can change the fate of others
donc il n'est plus dans la tapisseri du destin,so he is no longer in the carpetery of destiny
on peut meme dire que sa fait partie du destin se qu'il lui arrive surtout si il s amuse encore a bouffer des morceaux de divinite,you can even say that it is part of destiny that happens to him especially if he still has fun eating pieces of divinity
il a perdu son destin,he lost his destiny
oui je suis daccord,yes i agree
plutot grace a weaver,rather thanks to weaver
je pense que c'est pas grace a cassie qu'il a pu le faire,i do not think he could do it because of a breakie
je pense pas que le destin est brise apres tous on revoit tous les amis de sunny revenir il a juste perdu le sortilege,i do not think fate is broken after all we will see all sunny's friends come back he just lost the exit leg
ca reviens au meme,it comes back to the same
sunny est liberer du destin et peux le changer,sunny is free from destiny and can change it
elle a pas brise le destin qu'est-ce que tu baragouines,she did not break your fate
parce que en vrai ok cassie est hyper intelligente mais de la a ce quun simple eveille puisse briser le destin comme ca alors que les dieux ny arrive meme pas non weaver a forcement fait quelque chose,because in reality ok cassie is hyper intelligent but from the a that a simple awaken can break fate like that while the gods ny does not even happen no weaver has necessarily done something
cassie venait d'avoir c'est pouvoir elle ne les comprenait pas en plus voir sunny assassine quelqu un puit le voir attaque sa meilleur amie,cassie had just got it is power she did not understand them anymore seeing sunny assassin someone could see him attacking his best friend
cest largement possible voir probable,it is widely possible to see probable
